Rs(GBu),NumCh,BCh(GHz),Lspan(KM),Ptx(dBm),CutNumCh,ChDistCutCen,TotCongLSP(%),RHEffecIdle,LHEffecIdle,RHCongLSP(%),RFirstIdle,LHCongLSP(%),LFirstIdle,PowNli(dB),PowAse(dB),SnrLink(dB)
64,59,6.4e+07,105,2.5,46,16,74.576,8,10,69.231,0,75.556,0,-59.243,-51.045,22.932
32,117,3.2e+07,80,3.5,51,8,75.214,18,13,81.818,0,66,2,-50.974,-59.779,23.937
32,117,3.2e+07,75,4.5,46,13,75.214,17,17,76.056,0,73.333,1,-48.401,-60.934,22.665
32,117,3.2e+07,75,1.5,70,11,75.214,16,21,70.213,0,78.261,0,-56.653,-60.934,26.776
96,45,9.6e+07,85,0.5,18,5,77.778,9,12,74.074,0,82.353,0,-67.967,-53.857,24.192
96,45,9.6e+07,85,0.5,14,9,75.556,9,10,70.968,0,84.615,0,-68.104,-53.857,24.197
64,59,6.4e+07,115,-2,58,28,74.576,1,9,100,0,73.684,1,-73.977,-48.767,16.754
96,45,9.6e+07,90,-4.5,38,15,75.556,5,9,71.429,1,75.676,0,-84.03,-52.71,18.207
64,59,6.4e+07,50,4.5,43,13,74.576,10,9,75,0,73.81,0,-53.778,-63.842,27.87
64,59,6.4e+07,50,4,8,22,74.576,11,4,76.471,0,57.143,0,-55.666,-63.842,29.051
96,45,9.6e+07,60,1,31,8,75.556,9,9,71.429,0,76.667,0,-67.235,-59.674,29.972
64,59,6.4e+07,60,-4.5,4,26,74.576,9,3,72.727,0,100,0,-80.923,-61.435,26.886
64,59,6.4e+07,70,-1,32,2,76.271,7,10,66.667,1,83.871,0,-70.287,-59.085,27.768
64,59,6.4e+07,65,-2.5,6,24,74.576,9,5,71.698,0,100,0,-74.622,-60.254,27.598
32,117,3.2e+07,85,-3.5,24,35,75.214,17,17,75.269,1,73.913,1,-72.382,-58.628,24.949
32,117,3.2e+07,70,-1.5,27,32,76.068,17,19,74.444,0,80.769,0,-65.629,-62.095,29.002
96,45,9.6e+07,75,2.5,13,10,75.556,9,11,68.75,0,91.667,0,-62.092,-56.163,27.675
96,45,9.6e+07,65,-2.5,36,13,75.556,8,9,88.889,0,71.429,0,-77.306,-58.494,25.937
96,45,9.6e+07,115,5,2,21,75.556,10,0,76.744,0,0,0,-55.964,-47.006,21.487
96,45,9.6e+07,120,0,32,9,77.778,9,11,76.923,0,77.419,0,-69.527,-45.869,15.85
64,59,6.4e+07,120,1.5,10,20,76.271,7,8,73.469,0,88.889,0,-62.468,-47.63,18.99
64,59,6.4e+07,105,-0.5,16,14,74.576,8,6,79.07,0,60,1,-68.935,-51.045,20.475
64,59,6.4e+07,120,-2,28,2,76.271,10,11,70.968,1,81.481,0,-72.812,-47.63,15.617
96,45,9.6e+07,95,1,26,3,75.556,10,7,84.211,1,68,1,-67.488,-51.566,22.456
32,117,3.2e+07,75,0,15,44,76.068,18,12,74.51,0,85.714,0,-61.219,-60.934,28.064
32,117,3.2e+07,80,-4,106,47,76.068,9,18,81.818,0,75.238,0,-73.119,-59.779,25.582
32,117,3.2e+07,70,3.5,99,40,76.068,14,18,77.778,0,75.51,0,-50.639,-62.095,23.839
96,45,9.6e+07,95,-4,21,2,75.556,8,9,70.833,1,80,0,-82.091,-51.566,17.562
32,117,3.2e+07,55,4,97,38,76.068,16,17,80,0,75,1,-49.722,-65.639,23.612
