Rs(GBu),NumCh,BCh(GHz),Lspan(KM),Ptx(dBm),CutNumCh,ChDistCutCen,TotCongLSP(%),RHEffecIdle,LHEffecIdle,RHCongLSP(%),RFirstIdle,LHCongLSP(%),LFirstIdle,PowNli(dB),PowAse(dB),SnrLink(dB)
96,45,9.6e+07,85,2,30,7,13.333,2,0,20,5,6.8966,18,-67.332,-53.857,25.666
32,117,3.2e+07,85,-2,64,5,11.111,3,3,13.208,1,7.9365,1,-71.358,-58.628,26.403
32,117,3.2e+07,60,4.5,60,1,10.256,1,3,5.2632,14,13.559,2,-53.074,-64.445,27.269
96,45,9.6e+07,60,4,37,14,13.333,0,3,0,0,13.889,0,-60.555,-59.674,31.082
64,59,6.4e+07,75,4.5,45,15,11.864,1,1,7.1429,5,11.364,10,-57.383,-57.924,29.135
96,45,9.6e+07,55,0.5,26,3,13.333,1,3,10.526,3,12,1,-71.682,-60.868,31.022
32,117,3.2e+07,110,3,29,30,11.111,3,1,11.364,1,7.1429,6,-57.096,-52.916,24.511
64,59,6.4e+07,75,-4,48,18,11.864,1,2,9.0909,0,10.638,7,-81.953,-57.924,23.907
32,117,3.2e+07,65,5,99,40,11.111,1,3,5.5556,17,11.224,12,-52.363,-63.265,27.024
96,45,9.6e+07,70,-3.5,32,9,13.333,1,2,7.6923,11,12.903,1,-83.563,-57.324,23.814
32,117,3.2e+07,90,-3,28,31,11.111,3,3,10.112,7,11.111,8,-75.605,-57.481,24.415
96,45,9.6e+07,80,-1,4,19,13.333,2,0,12.195,3,0,0,-76.225,-55.008,23.975
32,117,3.2e+07,55,2,92,33,11.111,2,4,8,13,10.989,2,-60.487,-65.639,31.33
96,45,9.6e+07,90,-1.5,17,6,13.333,2,1,14.286,3,6.25,1,-77.283,-52.71,21.195
96,45,9.6e+07,70,-2.5,17,6,13.333,1,2,10.714,4,12.5,3,-80.728,-57.324,24.804
64,59,6.4e+07,60,-3.5,41,11,11.864,1,3,5.5556,1,12.5,7,-81.089,-61.435,27.888
32,117,3.2e+07,95,2,96,37,11.111,0,6,0,0,12.632,5,-60.536,-56.337,26.937
96,45,9.6e+07,55,4,17,6,13.333,1,1,14.286,4,6.25,4,-61.626,-60.868,32.22
64,59,6.4e+07,105,-1.5,1,29,11.864,3,0,10.345,4,0,0,-75.06,-51.045,19.527
64,59,6.4e+07,65,3,53,23,11.864,0,1,0,0,11.538,7,-62.149,-60.254,31.089
96,45,9.6e+07,80,-3,33,10,13.333,3,0,25,2,6.25,21,-82.055,-55.008,21.999
32,117,3.2e+07,70,-1.5,107,48,11.111,1,2,10,7,10.377,5,-71.423,-62.095,30.116
96,45,9.6e+07,75,0.5,38,15,13.333,1,2,14.286,0,10.811,3,-70.957,-56.163,26.521
32,117,3.2e+07,50,4.5,77,18,11.111,4,1,12.5,0,9.2105,9,-52.395,-66.852,26.742
96,45,9.6e+07,50,3.5,17,6,13.333,0,2,10.714,15,12.5,9,-63.49,-62.081,33.218
32,117,3.2e+07,65,2.5,50,9,11.111,3,3,10.448,9,10.204,4,-59.167,-63.265,30.239
